params,mean_test_score,std_test_score,fit_time
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",13.997243639848318,0.7182138977882792,0.06400060653686523
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",13.1854718427146,0.8681085901025788,0.06599998474121094
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}",14.058548867816214,0.7641140808264498,0.16300058364868164
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 7, 'p': 3, 'weights': 'distance'}",13.213061240295053,0.8880969221849809,0.1569993495941162
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",13.332269020379522,0.8964812494684897,0.06100106239318848
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",12.739511706750926,0.9557319833879423,0.06200051307678223
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",14.028665748517522,0.8045132818741352,0.06500053405761719
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",12.976357451648761,0.9017813277157603,0.06699895858764648
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 3, 'weights': 'uniform'}",14.059673007990924,0.7938963760340753,0.16100192070007324
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 9, 'p': 3, 'weights': 'distance'}",13.00292145850759,0.8944839349760606,0.16299915313720703
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",13.490266734778274,0.9661347280771051,0.0690009593963623
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",12.471026577587264,0.9176554924279505,0.06800150871276855
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",14.051158611200538,0.8705397639128358,0.0710000991821289
"{'algorithm': 'auto', 'leaf_size': 40, 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",12.64799214578295,0.9074576768187036,0.07200050354003906
