Thermal_Conductivity_40C,Thermal_Conductivity_100C,Density_40C,Density_100C,Heat_Capacity_40C,Heat_Capacity_100C,Viscosity_40C,Viscosity_100C,SELFIES
0.205,0.194,0.984,0.929,5.398162702,5.564520407,1.201746328,0.083357209,[C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.202,0.191,0.983,0.939,5.398162702,5.564520407,1.212494392,0.076822143,[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.151,0.143,0.985,0.945,5.398162702,5.572154032,1.32972401,0.148420005,[C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.145,0.136,0.978,0.935,5.424950017,5.590986981,0.91776165,-0.018418586,[C][C][=C][C][=C][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N]
0.145,0.136,0.979,0.936,5.424950017,5.590986981,0.802951807,-0.076190138,[C][C][=C][C][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N]
0.145,0.136,0.988,0.945,5.424950017,5.590986981,1.163500749,0.091849654,[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.144,0.136,0.988,0.945,5.424950017,5.590986981,1.10856262,0.09531018,[C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.171,0.162,1.094,1.05,5.455321115,5.605802066,1.667706821,0.693147181,[C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O]
0.119,0.113,0.978,0.939,5.442417711,5.624017506,1.744196052,0.273532437,[C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][=C][C][=C][C][C][C][C][Ring1][Branch1][=C][Ring1][=Branch2]
0.175,0.166,1.025,0.978,5.488937726,5.645446898,1.16315081,0.182321557,[C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.159,0.15,1.039,0.996,5.493061443,5.645446898,1.30833282,0.405465108,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C]
0.193,0.182,0.958,0.916,5.484796933,5.648974238,1.43869704,0.17462535,[C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.201,0.189,0.961,0.92,5.484796933,5.648974238,1.368639426,0.2390169,[C][C][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.173,0.164,0.997,0.953,5.493061443,5.648974238,0.832909123,-0.083381609,[C][Branch1][C][C][C][=C][Branch1][S][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C]
0.187,0.177,1.004,0.96,5.488937726,5.648974238,1.131402111,0.21511138,[C][C][C][=Branch1][=N][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][#Branch2][C][C][C]
0.183,0.173,1.006,0.962,5.488937726,5.65248918,1.609437912,0.470003629,[C][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][Branch1][C][C][C]
0.191,0.181,1.156,1.106,5.552959585,5.697093487,2.140066163,0.993251773,[O][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.144,0.135,0.912,0.869,5.529429088,5.703782475,1.071583616,0.086177696,[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.117,0.111,0.918,0.876,5.537334267,5.707110265,1.280933845,0.405465108,[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C]
0.117,0.111,0.918,0.876,5.537334267,5.707110265,1.280933845,0.405465108,[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C]
0.135,0.128,0.921,0.879,5.529429088,5.707110265,1.363537374,0.207014169,[C][C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.146,0.137,0.903,0.86,5.537334267,5.710427017,0.828551818,-0.020202707,[C][C][C][C][Branch1][Ring2][C][Ring1][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
0.13,0.123,0.921,0.879,5.552959585,5.717027701,1.281242131,0.133393883,[C][C][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.105,0.099,0.93,0.887,5.552959585,5.717027701,1.451309331,0.20939345,[C][C][=C][C][Branch1][C][C][=C][Branch1][Branch2][C][C][C][C][C][Ring1][Branch1][C][Branch1][C][C][=C][Ring1][=N]
0.124,0.117,0.915,0.872,5.556828062,5.720311777,1.300191662,0.039220713,[C][C][C][Branch1][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1]
0.12,0.113,0.931,0.894,5.545177444,5.733341277,1.559703403,0.412679025,[C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][C][C][C][C][C][C][C][Ring1][O][Ring1][=Branch1]
0.148,0.139,0.842,0.798,5.620400866,5.780743516,0.548121409,-0.301105093,[C][C][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
