Train Size,Model Params,Train Params,Validation MSE,Average Training Time
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 32}",9.451344220620188,160.24380197525025
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 64}",8.950460406056425,122.80470023155212
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 2, 'dense_units': 64, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 128}",7.992731545385813,9209.318743133545
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 8}",8.359761635863295,353.2495590686798
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 16}",9.174358129292287,205.48188853263855
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 32}",8.115742283490075,178.6388756275177
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 64}",8.114270153600145,6625.009433603287
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'adam'}","{'epochs': 500, 'batch_size': 128}",7.727972646909049,224.69167885780334
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 8}",9.323938898662785,425.97257766723635
0.99,"{'head_size': 8, 'num_heads': 5, 'ff_dim': 32, 'dropout': 0.0, 'num_transformer_blocks': 3, 'dense_units': 16, 'optimizer': 'rmsprop'}","{'epochs': 500, 'batch_size': 16}",10.337280152914603,8099.8688539505
