params,dataset_size,avg_val_score,training_time
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.677202224731445
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.789234638214111
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.59204649925232
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.633046627044678
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.721557140350342
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.718062400817871
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.573184490203857
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.726047039031982
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,15.722548484802246
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.648035049438477
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.792034387588501
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.689034461975098
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 300, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,15.539033889770508
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.289048194885254
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.233043909072876
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.124038457870483
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.110039949417114
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.34018349647522
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.143903732299805
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.076040267944336
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.246039867401123
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.091904401779175
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.15007209777832
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.141039848327637
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,18.12906765937805
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.109025478363037
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.16975212097168
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.204041481018066
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,18.104621648788452
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.749495267868042
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.554026365280151
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.673853635787964
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.530024290084839
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.540026187896729
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.601026058197021
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.558025360107422
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,15.603631258010864
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.60402774810791
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.77060079574585
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.67162013053894
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,15.570430517196655
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.54011607170105
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.621580123901367
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.683156490325928
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 400, 'init_params': 'random', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,15.658058166503906
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.104122161865234
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.099066495895386
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.102062463760376
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.0001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.169806003570557
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.074717044830322
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.14771294593811
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.09827709197998
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.001, 'reg_covar': 0.001}",0.99,12.40281242291824,18.48858380317688
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.13607406616211
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 1e-05}",0.99,12.40281242291824,17.97809147834778
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.0001}",0.99,12.40281242291824,17.997066259384155
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.01, 'reg_covar': 0.001}",0.99,12.40281242291824,17.984066247940063
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-06}",0.99,12.40281242291824,18.210317611694336
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 1e-05}",0.99,12.40281242291824,18.13115358352661
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.0001}",0.99,12.40281242291824,18.025048971176147
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'kmeans', 'tol': 0.1, 'reg_covar': 0.001}",0.99,12.40281242291824,18.035048961639404
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-06}",0.99,12.40281242291824,15.504040956497192
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 1e-05}",0.99,12.40281242291824,15.62281346321106
"{'n_components': 1, 'covariance_type': 'full', 'max_iter': 500, 'init_params': 'random', 'tol': 0.0001, 'reg_covar': 0.0001}",0.99,12.40281242291824,15.787487506866455
