Train Size,Model Params,Train Params,Validation MSE
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.4694008239132836
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",8.645862690737037
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",8.54703013479818
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.436117754864152
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.608968572364944
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.322808266606917
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.4004958478983376
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",7.9936816332301746
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",8.152716832362568
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.676234204065878
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.226141217796217
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.2285609443492818
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.1429299337189947
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",8.172862137889203
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",7.87016514356921
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.239409691389595
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.635057500858883
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.1168650661228385
0.2,"{'optimizer': 'adam', 'filters': 64, 'kernel_size': 7, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.500748390263386
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",17.304141509214155
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",17.535742473250902
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",6.1954080186269636
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.469023999941896
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.200849324814978
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.490189316370547
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",17.51408062723152
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",17.209135729465565
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",6.390673821831678
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.57723496552603
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.014825107927146
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.29062376756962
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",16.57801807706188
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",16.939343329747096
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",6.0859297409708715
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",6.164921138782679
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",4.3586184537932136
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 3, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",4.5486241525319615
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",10.750000791887732
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",10.262647071045707
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",5.562806339193251
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",5.3756484222247565
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.3218156402758794
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.4725852158846067
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",10.558929337340128
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",10.421257018930026
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",5.852356259864706
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",5.663809724087241
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.099577721665457
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 32, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.0986119340953153
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",9.885907066330892
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",10.321302689136528
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",5.508045191723707
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",5.56228531340173
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.3324603032874065
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 5, 'dense_units': 64, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.3483436729472063
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",7.470628388664634
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 1}","{'epochs': 100, 'batch_size': 128}",7.352423862717541
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 64}",4.21992227429239
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 2}","{'epochs': 100, 'batch_size': 128}",4.065914432863244
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 64}",3.060469429524364
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 16, 'num_layers': 3}","{'epochs': 100, 'batch_size': 128}",3.0923657307103465
0.2,"{'optimizer': 'adam', 'filters': 128, 'kernel_size': 7, 'dense_units': 32, 'num_layers': 1}","{'epochs': 100, 'batch_size': 64}",6.865810924398379
