SMILES,Viscosity_40C
CCCCCCCCCCCC(CCCCCCCCCC)c1cccc2ccccc12,3.507381558
C1CCC(CC1)CCC(CCCC2CCCC2)CCCC3CCCC3,3.496507561
C(CCCCCCCCCCCCCCCCCC)OC,1.824549292
C(CCCCCCCCCCCCCCCCC)(=O)OC,1.60743591
CCCCCCCCCCCCCC1CCCC1,1.342864803
C(CCCCCCC)C=1C=C2CCCCC2=CC1,1.808288771
CCCCCCCC=CCCCCCCCC,0.875468737
C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC,1.252762968
CCCCCC1CCCC1,-0.155484903
CC1=C(C(=CC(=C1)C)C)C(C1=CC=CC=C1)=O,1.62924054
C1CCC(C1)c2ccccc2,0.266969031
CCCCCC(CC)c1ccc2ccccc2c1,2.076167438
CC(CCCCCCCCCCCCC)=O,0.841567186
CC(C)CCC(CCC(C)C)CC1CC(CCC1C)C(C)C,2.833838443
CCCCCCCCCCCCCC(CCCC)CCCCCCCC,2.101692151
C(CCC)C(CCCCCCCCCCCCCCCCC)C1CCC2(CC1)CCCCC2,3.526360525
CCCCCCCCCCCCCCC1CCCCC1,1.766441661
CCCCCCCCCCCCCC(=O)OCCC,1.330020262
CCCCCCCCCCC(CCCCCCCCCC)c1cccc2CCCCc12,3.645971953
CC(CC1CCCCC1)C2CCCCC2,1.72015605
CC(C)Cc1ccccc1c2ccccc2,1.740466175
C1CCC(CC1)CC2CCCCC2,1.258756401
C(CCCCCCC\C=C\C\C=C\CCCCC)(=O)OC,1.667706821
C(C=1C(C(=O)OCCCCC)=CC=CC1)(=O)OCCCCC,3.17805383
CC(C)CC(CC(CCCCCCCCCCCC)C)C,1.490654376
CC(CCCCC)CCCCCCCCC,0.78845736
CCc1ccccc1Cc2ccccc2,1.205488655
CCCCCCCCC(CCCCCCCC)CCCCCCCC,1.925707442
CC(=C)CCCCCCCCCCCCCCCCC(C)=C,0.862889955
CC(C)(C)C1CCC(CC1)C(C)(C)C,1.280933845
COCCOCCOCCOCCOCCOC,1.289232648
C(C=1C(C(=O)OCC(CCCC)CC)=CC=CC1)(=O)OCCCC,3.688879454
CCCCCCCCCCCCCCCC1CCCCC1,1.900613874
CCCCCCCCCCCCCCC=C,0.703097511
CCCCCCCCCCCC,0.058268908
C(C)C(C(=O)OC(CC)(CC)CC)(CCCCCCCC)CC,3.17805383
Cc1ccc(Cc2ccccc2)cc1C,1.549473448
C(C1=CC=C(C(=O)OCC(C)C)C=C1)(=O)OCC(C)C,3.17805383
C(=CCCCCCCCCCCCCCC)C1=C(C=C(C=C1C)C)C,1.62924054
CCCCCCCCCCCCCCCCC1CCCC1,1.757857918
CC(Cc1ccccc1)Cc2ccccc2,1.684077743
CC(C)(C)c1ccc2CCCc2c1,1.026310377
CCCCCCCCCCCCCCCCCC(CC)C1CCCCC1,2.522523513
CCc1cccc(c1)c2ccccc2,1.201746328
C1CCC(C1)c2ccc3CCCc3c2,1.744196052
CCCCCCCCCCCCCCCCCCC(C)c1ccccc1,2.344686269
CCCCCCCCCCC(CO)CCCC,2.740840024
C1(=CC=CC=C1)CC(C)(C)C1=CC=CC=C1,1.526056303
CCOCOCOCOCC,0.431782416
CCCCCCCCCCCCCCCC(CCCC)CCCCCCCCCCCCCCC,2.947067102
CCCCCCCCCCCCCCCCCCCCCCc1ccc2CCCCc2c1,2.921741218
C(C)C(CCCCCCCCCC)(CCCCCCCCCCCC)C,3.17805383
CCCCCCCCCCCCCCCC(C)C,0.862889955
CC(=C)CCCCCCCCCCCCCCCCC,0.78845736
C(CCC)C(CCCC)CCC(CCCC)CCCC,1.335001067
CCCCCC=CCCCCCCCCC,0.741937345
C1CCC(C1)CCCC(CCCC2CCCC2)=CCCC3CCCC3,2.833213344
C=C(c1ccccc1)c2ccccc2,1.589235205
CCCCC(CC)COC(=O)c1ccccc1,1.286474026
C(C(C)C)C(CC(C)C)CCCCC(CC(C)C)CC(C)C,1.280933845
CCCCCCCCCCc1cccc2ccccc12,2.226977535
CCCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,2.706048198
C(CCC)C1C(CCCC1)CCCCCC,0.832909123
CCCCCCCCCC(C)c1ccccc1,1.377243526
C1(CCCC1)CCCC(CCCCCCCC)CCCCCCCC,2.170195905
CCCCCCC(C)c1ccccc1,0.570979547
CCCCCCCCCCCCCC(CCCCCCCC)CCCCCCCC,2.406945108
CC(C)C(CCCCCCCCCCCCCCCC)C,1.609437912
C1(CCCC1)C1C(CCC1)CCCCCCCCCCCCCCCCCC,1.931521412
CCCCCCCCCCCCCCCCCCCCCCC,1.768149604
CCCCCCc1ccc(CCCCCC)cc1,1.499623046
C=1(C(=CC=CC1)C(=O)OCC(C)C)C(=O)OCC(C)C,2.890371758
CC(C)(CCCC(CCCC(C)(C)C)CCCC(C)(C)C)C,1.916922612
CC1=CC=C(C=C1)CC(C)C1=CC=C(C=C1)C,1.589235205
CC1CC(=C(CC1)C(C)C)C1=CC=C(C=C1)C,2.116255515
CCCCCCCCCCCCc1ccc2ccccc2c1,2.184513016
C1CCC(CC1)C2CCCCC2,1.111857515
